c_carid,c_model,c_make,c_year,c_color,c_engine,c_transmission,c_class,c_tint,c_convertible,c_carbonPackage
1,LFA,LEXUS,2012,WHITE,V8,6-SPEED-AUTOMATIC,SPORT,NO,NO,YES
2,LFA,LEXUS,2012,BLACK,V8,6-SPEED-AUTOMATIC,SPORT,NO,NO,YES
3,LFA,LEXUS,2012,RED,V8,6-SPEED-AUTOMATIC,SPORT,NO,NO,YES
4,LFA,LEXUS,2012,BLUE,V8,6-SPEED-AUTOMATIC,SPORT,NO,NO,YES
5,LFA,LEXUS,2012,GREY,V8,6-SPEED-AUTOMATIC,SPORT,NO,NO,YES
6,LFA,LEXUS,2012,YELLOW,V8,6-SPEED-AUTOMATIC,SPORT,NO,NO,YES
7,LFA,LEXUS,2012,GREEN,V8,6-SPEED-AUTOMATIC,SPORT,NO,NO,YES
8,LFA,LEXUS,2012,WHITE,V8,6-SPEED-MANUEL,SPORT,NO,NO,YES
9,LFA,LEXUS,2012,BLACK,V8,6-SPEED-MANUEL,SPORT,NO,NO,YES
10,LFA,LEXUS,2012,RED,V8,6-SPEED-MANUEL,SPORT,NO,NO,YES
11,LFA,LEXUS,2012,BLUE,V8,6-SPEED-MANUEL,SPORT,NO,NO,YES
12,LFA,LEXUS,2012,GREY,V8,6-SPEED-MANUEL,SPORT,NO,NO,YES
13,LFA,LEXUS,2012,YELLOW,V8,6-SPEED-MANUEL,SPORT,NO,NO,YES
14,LFA,LEXUS,2012,GREEN,V8,6-SPEED-MANUEL,SPORT,NO,NO,YES
15,LFA,LEXUS,2012,WHITE,V6,6-SPEED-AUTOMATIC,SPORT,NO,NO,YES
16,LFA,LEXUS,2012,BLACK,V6,6-SPEED-AUTOMATIC,SPORT,NO,NO,YES
17,LFA,LEXUS,2012,RED,V6,6-SPEED-AUTOMATIC,SPORT,NO,NO,YES
18,LFA,LEXUS,2012,BLUE,V6,6-SPEED-AUTOMATIC,SPORT,NO,NO,YES
19,LFA,LEXUS,2012,GREY,V6,6-SPEED-AUTOMATIC,SPORT,NO,NO,YES
20,LFA,LEXUS,2012,YELLOW,V6,6-SPEED-AUTOMATIC,SPORT,NO,NO,YES
21,LFA,LEXUS,2012,GREEN,V6,6-SPEED-AUTOMATIC,SPORT,NO,NO,YES
22,LFA,LEXUS,2012,WHITE,V6,6-SPEED-MANUEL,SPORT,NO,NO,YES
23,LFA,LEXUS,2012,BLACK,V6,6-SPEED-MANUEL,SPORT,NO,NO,YES
24,LFA,LEXUS,2012,RED,V6,6-SPEED-MANUEL,SPORT,NO,NO,YES
25,LFA,LEXUS,2012,BLUE,V6,6-SPEED-MANUEL,SPORT,NO,NO,YES
26,LFA,LEXUS,2012,GREY,V6,6-SPEED-MANUEL,SPORT,NO,NO,YES
27,LFA,LEXUS,2012,YELLOW,V6,6-SPEED-MANUEL,SPORT,NO,NO,YES
28,LFA,LEXUS,2012,GREEN,V6,6-SPEED-MANUEL,SPORT,NO,NO,YES
29,LFA,LEXUS,2012,WHITE,V8,6-SPEED-AUTOMATIC,SPORT,YES,NO,YES
30,LFA,LEXUS,2012,BLACK,V8,6-SPEED-AUTOMATIC,SPORT,YES,NO,YES
31,LFA,LEXUS,2012,RED,V8,6-SPEED-AUTOMATIC,SPORT,YES,NO,YES
32,LFA,LEXUS,2012,BLUE,V8,6-SPEED-AUTOMATIC,SPORT,YES,NO,YES
33,LFA,LEXUS,2012,GREY,V8,6-SPEED-AUTOMATIC,SPORT,YES,NO,YES
