o_orderid,o_hq,o_manuid,o_dealerid,o_carid
1,1,200,50,1
2,1,77,118,2
3,1,75,131,3
4,1,126,74,4
5,1,101,55,5
6,1,81,110,6
7,1,167,111,7
8,1,60,154,8
9,1,124,59,9
10,1,74,109,10
11,1,19,69,11
12,1,188,83,12
13,1,107,18,13
14,1,51,104,14
15,1,126,123,15
16,1,72,61,16
17,1,58,80,17
18,1,150,111,18
19,1,62,46,19
20,1,51,30,20
21,1,109,12,21
22,1,161,51,22
23,1,49,58,23
24,1,78,150,24
25,1,64,44,25
26,1,129,200,26
27,1,41,75,27
28,1,35,46,28
29,1,84,110,29
30,1,55,33,30
31,1,47,101,31
32,1,193,128,32
33,1,195,114,33
34,1,49,175,34
35,1,169,61,35
36,1,92,131,36
37,1,134,101,37
38,1,82,106,38
39,1,173,1,39
40,1,2,179,40
41,1,144,30,41
42,1,9,186,42
43,1,88,174,43
44,1,128,192,44
45,1,29,95,45
46,1,174,10,46
47,1,164,90,47
48,1,34,57,48
49,1,10,63,49
50,1,33,62,50
51,1,111,195,51
52,1,181,173,52
53,1,129,156,53
54,1,85,142,54
55,1,93,156,55
56,1,163,23,56
57,3,97,76,57
58,3,144,60,58
59,3,77,62,59
60,3,116,118,60
61,3,196,173,61
62,3,38,77,62
63,3,150,147,63
64,3,18,128,64
65,3,98,26,65
66,3,177,30,66
67,3,99,131,67
68,3,133,180,68
69,3,105,33,69
70,3,122,143,70
71,3,73,126,71
72,3,120,42,72
73,3,77,77,73
74,3,33,43,74
75,3,106,103,75
76,3,30,123,76
77,3,59,191,77
78,3,169,21,78
79,3,156,156,79
80,3,135,51,80
81,3,99,181,81
82,3,196,168,82
83,3,164,187,83
84,3,40,31,84
85,4,13,23,85
86,4,153,187,86
87,4,35,24,87
88,4,48,94,88
89,4,24,193,89
90,4,122,145,90
91,4,193,183,91
92,4,76,58,92
93,4,20,149,93
94,4,152,60,94
95,4,97,190,95
96,4,157,181,96
97,4,8,70,97
98,4,6,137,98
99,4,140,157,99
100,4,96,59,100
101,4,100,193,101
102,4,3,170,102
103,4,6,182,103
104,4,196,160,104
105,4,134,125,105
106,4,65,7,106
107,4,137,66,107
108,4,129,1,108
109,4,43,101,109
110,4,4,123,110
111,4,82,98,111
112,4,168,72,112
