m_id,m_address,m_phonenumber,m_email,m_nationkey
1,1234 Hydro Ave,039-7381-43,manu@canada.com,1
2,9482 Sentinel Dr,493-5909-01,manu@india.com,2
3,8903 Yahyeet St,474-4316-18,manu2@india.com,3
4,3498 Iphone Ave,634-1124-22,manu@japan.com,4
5,4538 Airpods Dr,209-0627-07,manu1@china.com,5
6,4689 Fairfax St,223-5310-75,manu2@china.com,6
7,4039 Pavillon Way ,596-2975-24,manu@us.com,7
8,5028 G Street,475-9203-22,manu2@us.com,8
9,7050 A ST ,667-7282-73,n.fowler@randatmail.com,9
10,6503 Water Way ,114-2695-52,s.scott@randatmail.com,10
11,7800 Backpack Ct ,553-0596-38,d.dixon@randatmail.com,11
12,8901 Clean St,624-4655-16,t.miller@randatmail.com,12
13,6049 Beep Ave,500-7273-28,m.farrell@randatmail.com,13
14,7809 Boop Ave,587-4565-05,w.hawkins@randatmail.com,14
15,2304 Chrome Ct,324-7307-93,c.holmes@randatmail.com,15
16,1022 W Ave ,525-5220-14,d.west@randatmail.com,16
17,5607 N Coms St,367-6079-25,e.brown@randatmail.com,17
18,6705 Count Ave ,099-4287-77,l.lloyd@randatmail.com,18
19,4506 Group St,070-9931-44,g.carroll@randatmail.com,19
20,7093 Lave Ct,091-6695-30,m.barnes@randatmail.com,20
21,1235 Hydro Ave,760-3758-04,j.cunningham@randatmail.com,1
22,9483 Sentinel Dr,553-7710-77,s.alexander@randatmail.com,2
23,8904 Yahyeet St,762-0749-73,r.mason@randatmail.com,3
24,3499 Iphone Ave,547-0175-70,j.phillips@randatmail.com,4
25,4539 Airpods Dr,879-1382-34,a.morris@randatmail.com,5
26,4690 Fairfax St,594-4759-56,m.williams@randatmail.com,6
27,4040 Pavillon Way ,958-8687-33,a.ryan@randatmail.com,7
28,5029 G Street,609-9814-15,r.stewart@randatmail.com,8
29,7051 A ST ,698-7857-29,c.brown@randatmail.com,9
30,6504 Water Way ,381-6814-12,s.taylor@randatmail.com,10
31,7801 Backpack Ct ,676-5492-39,f.allen@randatmail.com,11
32,8902 Clean St,075-7589-11,r.gibson@randatmail.com,12
33,6050 Beep Ave,913-8757-79,g.allen@randatmail.com,13
34,7810 Boop Ave,419-9631-66,k.barnes@randatmail.com,14
35,2305 Chrome Ct,752-5230-94,d.cameron@randatmail.com,15
36,1023 W Ave ,909-6016-91,n.smith@randatmail.com,16
37,5608 N Coms St,713-0803-30,m.thompson@randatmail.com,17
38,6706 Count Ave ,594-6888-64,a.alexander@randatmail.com,18
39,4507 Group St,529-4151-25,j.thomas@randatmail.com,19
40,7094 Lave Ct,171-4748-25,a.riley@randatmail.com,20
41,1236 Hydro Ave,434-4909-27,g.campbell@randatmail.com,1
42,9484 Sentinel Dr,944-2750-43,f.scott@randatmail.com,2
43,8905 Yahyeet St,482-9709-18,c.edwards@randatmail.com,3
44,3500 Iphone Ave,131-3738-04,k.payne@randatmail.com,4
45,4540 Airpods Dr,428-7523-14,v.wilson@randatmail.com,5
